product_id,product_name
79,Ashirwad Wheat Flower
80,OnePlus 11
81,Maggie Noodles
82,Levi's Blue Jeans
83,Ashirwad Wheat Flower
84,Nike Air Max Shoes
85,Maggi Noodles
86,Adidas Running T-Shirt
87,Allen Solly Formal Shirt
88,US Polo Casual Shirt
89,Tata Salt
90,Dabur Honey
91,Samsung Galaxy S21
92,Samzung Galaxy S21
93,Levi's Blue Jeans
94,Levi's Blue Jeans
95,Aashirvaad Wheat Flour
96,Maggi Noodles
97,Allen Solly Formal Shirt
98,Nike AirMax Shoes
99,Maggie Noodles
100,Levi's Blue Jeans
101,Nike AirMax Shoes
102,Maggie Noodles
103,Amul Butter
104,Apple iPhone 13
105,US Polo Casual Shirt
106,Fortune Sunflower Oil
107,Allen Solly Formal Shirt
108,Aashirvaad Wheat Flour
109,Samzung Galaxy S21
110,Samzung Galaxy S21
111,Allen Solly Formal Shirt
112,Tata Salt
113,Tata Salt
114,Apple iPhone 14 Pro
115,Apple iPhone 14
116,Maggie Noodles
117,Samsung Galaxy S21
118,Nike Air Max Shoes
119,Samzung Galaxy S21
120,Sony WH-1000XM5 Headphones
121,Boat Rockerz 450 Headphones
122,Nike Air Max Shoes
123,Dabur Honey
124,Puma Sports Shorts
125,Apple iPhone 14
126,Levi's Blue Jeans
127,Redmi Note 12
128,Amul Butter
129,Maggi Noodles
130,Fortune Sunflower Oil
131,Nike AirMax Shoes
132,Redmi Note 12
133,Adidas Running T-Shirt
134,Tata Salt
135,Samzung Galaxy S21
136,Sony WH-1000XM5 Headphones
137,Ashirwad Wheat Flower
138,Dabur Honey
139,OnePlus 11
140,Maggie Noodles
141,Fortune Sunflower Oil
142,Apple iPhone 13
143,Allen Solly Formal Shirt
144,Tata Salt
145,Nike Air Max Shoes
146,Boat Rockerz 450 Headphones
147,Sony WH-1000XM5 Headphones
148,Ashirwad Wheat Flower
149,Ashirwad Wheat Flower
150,Maggie Noodles
151,Apple iPhone 14 Pro
152,Adidas Running T-Shirt
153,Dabur Honey
154,Levi's Blue Jeans
155,Puma Sports Shorts
156,Adidas Running T-Shirt
157,Maggie Noodles
158,Levi's Blue Jeans
159,Maggie Noodles
160,Amul Butter
161,Maggi Noodles
162,Puma Sports Shorts
163,Levi's Blue Jeans
164,Samsung Galaxy S21
165,Dabur Honey
166,Allen Solly Formal Shirt
167,Nike AirMax Shoes
168,Dabur Honey
169,Fortune Sunflower Oil
170,US Polo Casual Shirt
171,Apple iPhone 13
172,Tata Salt
173,Apple iPhone 14 Pro
174,OnePlus 11
175,Nike AirMax Shoes
176,Maggie Noodles
177,Puma Sports Shorts
178,Allen Solly Formal Shirt
179,OnePlus 11
180,Allen Solly Formal Shirt
181,Ashirwad Wheat Flower
182,Samzung Galaxy S21
183,Dabur Honey
184,Fortune Sunflower Oil
185,Adidas Running T-Shirt
186,Samzung Galaxy S21
187,OnePlus 11
188,Nike Air Max Shoes
189,Aashirvaad Wheat Flour
190,US Polo Casual Shirt
191,Apple iPhone 14 Pro
192,Apple iPhone 14 Pro
193,Adidas Running T-Shirt
194,Nike Air Max Shoes
195,Aashirvaad Wheat Flour
196,Apple iPhone 14 Pro
197,Puma Sports Shorts
198,Aashirvaad Wheat Flour
199,Fortune Sunflower Oil
200,Aashirvaad Wheat Flour
201,Puma Sports Shorts
202,Amul Butter
203,Adidas Running T-Shirt
204,Nike Air Max Shoes
205,Dabur Honey
206,Levi's Blue Jeans
207,Adidas Running T-Shirt
208,Fortune Sunflower Oil
209,Ashirwad Wheat Flower
210,Fortune Sunflower Oil
211,OnePlus 11
212,Aashirvaad Wheat Flour
213,US Polo Casual Shirt
214,Sony WH-1000XM5 Headphones
215,Tata Salt
216,Aashirvaad Wheat Flour
217,Sony WH-1000XM5 Headphones
218,Redmi Note 12
219,Apple iPhone 14
220,Dabur Honey
221,Apple iPhone 13
222,Allen Solly Formal Shirt
223,Ashirwad Wheat Flower
224,US Polo Casual Shirt
225,US Polo Casual Shirt
226,Aashirvaad Wheat Flour
227,Nike AirMax Shoes
228,Fortune Sunflower Oil
229,Apple iPhone 14 Pro
230,Apple iPhone 14 Pro
231,OnePlus 11
232,Apple iPhone 14
233,Allen Solly Formal Shirt
234,Apple iPhone 14 Pro
235,Puma Sports Shorts
236,Tata Salt
237,Dabur Honey
238,Apple iPhone 14 Pro
239,Samzung Galaxy S21
240,Allen Solly Formal Shirt
241,Adidas Running T-Shirt
242,Maggie Noodles
243,Samsung Galaxy S21
244,Allen Solly Formal Shirt
245,Levi's Blue Jeans
246,Nike AirMax Shoes
247,Adidas Running T-Shirt
248,Sony WH-1000XM5 Headphones
249,Boat Rockerz 450 Headphones
250,Samzung Galaxy S21
251,Nike AirMax Shoes
252,Apple iPhone 14 Pro
253,Apple iPhone 14
254,Nike AirMax Shoes
255,Apple iPhone 13
256,Fortune Sunflower Oil
257,Dabur Honey
258,Tata Salt
259,Adidas Running T-Shirt
260,Fortune Sunflower Oil
261,Allen Solly Formal Shirt
262,Samzung Galaxy S21
263,Nike Air Max Shoes
264,Apple iPhone 14 Pro
265,Puma Sports Shorts
266,Nike AirMax Shoes
267,OnePlus 11
268,Aashirvaad Wheat Flour
269,Samsung Galaxy S21
270,Nike AirMax Shoes
271,Samsung Galaxy S21
272,Adidas Running T-Shirt
273,Fortune Sunflower Oil
274,Allen Solly Formal Shirt
275,Apple iPhone 13
276,Ashirwad Wheat Flower
277,US Polo Casual Shirt
278,Nike AirMax Shoes
279,Samsung Galaxy S21
280,OnePlus 11
281,Adidas Running T-Shirt
282,Amul Butter
283,Apple iPhone 14
284,Aashirvaad Wheat Flour
285,Maggi Noodles
286,Samzung Galaxy S21
287,Amul Butter
288,Ashirwad Wheat Flower
289,Samzung Galaxy S21
290,Nike AirMax Shoes
291,Aashirvaad Wheat Flour
292,Nike Air Max Shoes
293,Ashirwad Wheat Flower
294,Sony WH-1000XM5 Headphones
295,Maggie Noodles
296,Amul Butter
297,US Polo Casual Shirt
298,Adidas Running T-Shirt
299,Puma Sports Shorts
300,Levi's Blue Jeans
301,Nike Air Max Shoes
302,US Polo Casual Shirt
303,Allen Solly Formal Shirt
304,Dabur Honey
305,Aashirvaad Wheat Flour
306,Dabur Honey
307,US Polo Casual Shirt
308,Maggie Noodles
309,Ashirwad Wheat Flower
310,Samsung Galaxy S21
311,Fortune Sunflower Oil
312,Levi's Blue Jeans
313,Puma Sports Shorts
314,Adidas Running T-Shirt
315,OnePlus 11
316,Tata Salt
317,OnePlus 11
318,Nike AirMax Shoes
319,Boat Rockerz 450 Headphones
320,Maggi Noodles
321,Tata Salt
322,Samzung Galaxy S21
323,OnePlus 11
324,Maggie Noodles
325,Samsung Galaxy S21
326,OnePlus 11
327,Boat Rockerz 450 Headphones
328,Redmi Note 12
329,Maggie Noodles
330,Ashirwad Wheat Flower
331,Fortune Sunflower Oil
332,Levi's Blue Jeans
333,Dabur Honey
334,Tata Salt
335,Nike Air Max Shoes
336,Redmi Note 12
337,Apple iPhone 13
338,Fortune Sunflower Oil
339,OnePlus 11
340,Fortune Sunflower Oil
341,Apple iPhone 14 Pro
342,Samsung Galaxy S21
343,Sony WH-1000XM5 Headphones
344,Apple iPhone 14
345,Redmi Note 12
346,Tata Salt
347,OnePlus 11
348,Nike AirMax Shoes
349,Nike Air Max Shoes
350,Apple iPhone 14 Pro
351,Maggie Noodles
352,Ashirwad Wheat Flower
353,Puma Sports Shorts
354,US Polo Casual Shirt
355,Ashirwad Wheat Flower
356,OnePlus 11
357,Apple iPhone 14
358,Apple iPhone 14 Pro
359,Apple iPhone 14 Pro
360,Boat Rockerz 450 Headphones
361,Puma Sports Shorts
362,Maggie Noodles
363,Puma Sports Shorts
364,Nike Air Max Shoes
365,US Polo Casual Shirt
366,Boat Rockerz 450 Headphones
367,US Polo Casual Shirt
368,Dabur Honey
369,Puma Sports Shorts
370,Nike Air Max Shoes
371,US Polo Casual Shirt
372,OnePlus 11
373,Nike Air Max Shoes
374,US Polo Casual Shirt
375,Dabur Honey
376,Fortune Sunflower Oil
377,Nike Air Max Shoes
378,Aashirvaad Wheat Flour
379,Adidas Running T-Shirt
380,Allen Solly Formal Shirt
381,Aashirvaad Wheat Flour
382,Redmi Note 12
383,Levi's Blue Jeans
384,Aashirvaad Wheat Flour
385,Levi's Blue Jeans
386,Ashirwad Wheat Flower
387,Ashirwad Wheat Flower
388,Samzung Galaxy S21
389,Puma Sports Shorts
390,Nike Air Max Shoes
391,Samsung Galaxy S21
392,Adidas Running T-Shirt
393,Samsung Galaxy S21
394,Maggi Noodles
395,Allen Solly Formal Shirt
396,Nike Air Max Shoes
397,US Polo Casual Shirt
398,Boat Rockerz 450 Headphones
399,Aashirvaad Wheat Flour
400,Levi's Blue Jeans
401,Amul Butter
402,Allen Solly Formal Shirt
403,Nike AirMax Shoes
404,Boat Rockerz 450 Headphones
405,Sony WH-1000XM5 Headphones
406,Samsung Galaxy S21
407,Maggi Noodles
408,Adidas Running T-Shirt
409,Nike AirMax Shoes
410,Aashirvaad Wheat Flour
411,US Polo Casual Shirt
412,Allen Solly Formal Shirt
413,Maggi Noodles
414,Levi's Blue Jeans
415,Puma Sports Shorts
416,Levi's Blue Jeans
417,OnePlus 11
418,US Polo Casual Shirt
419,Nike AirMax Shoes
420,US Polo Casual Shirt
421,US Polo Casual Shirt
422,Maggie Noodles
423,Redmi Note 12
424,Redmi Note 12
425,Fortune Sunflower Oil
426,Allen Solly Formal Shirt
427,Adidas Running T-Shirt
428,Levi's Blue Jeans
429,Apple iPhone 14 Pro
430,Adidas Running T-Shirt
431,Sony WH-1000XM5 Headphones
432,Adidas Running T-Shirt
433,Ashirwad Wheat Flower
434,Allen Solly Formal Shirt
435,Redmi Note 12
436,Sony WH-1000XM5 Headphones
437,US Polo Casual Shirt
438,Nike AirMax Shoes
439,Apple iPhone 14 Pro
440,Samzung Galaxy S21
441,Fortune Sunflower Oil
442,Allen Solly Formal Shirt
443,Samsung Galaxy S21
444,Adidas Running T-Shirt
445,Puma Sports Shorts
446,Dabur Honey
447,OnePlus 11
448,Maggi Noodles
449,Redmi Note 12
450,Nike Air Max Shoes
451,Sony WH-1000XM5 Headphones
452,US Polo Casual Shirt
453,Samzung Galaxy S21
454,Tata Salt
455,Boat Rockerz 450 Headphones
456,Redmi Note 12
457,Tata Salt
458,OnePlus 11
459,Amul Butter
460,Apple iPhone 13
461,Amul Butter
462,US Polo Casual Shirt
463,Maggi Noodles
464,Fortune Sunflower Oil
465,Fortune Sunflower Oil
466,Dabur Honey
467,Apple iPhone 14
468,US Polo Casual Shirt
469,Boat Rockerz 450 Headphones
470,Maggie Noodles
471,Aashirvaad Wheat Flour
472,Dabur Honey
473,Apple iPhone 14
474,Dabur Honey
475,Adidas Running T-Shirt
476,Redmi Note 12
477,Tata Salt
478,Apple iPhone 14 Pro
479,Allen Solly Formal Shirt
480,Samzung Galaxy S21
481,Aashirvaad Wheat Flour
482,Fortune Sunflower Oil
483,Boat Rockerz 450 Headphones
484,US Polo Casual Shirt
485,OnePlus 11
486,Sony WH-1000XM5 Headphones
487,Redmi Note 12
488,US Polo Casual Shirt
489,Amul Butter
490,Aashirvaad Wheat Flour
491,Maggi Noodles
492,Fortune Sunflower Oil
493,Nike AirMax Shoes
494,Dabur Honey
495,OnePlus 11
496,Maggie Noodles
497,US Polo Casual Shirt
498,Dabur Honey
499,Levi's Blue Jeans
500,Allen Solly Formal Shirt
